José Ortega y Gasset visited Husserl at Freiburg in 1934 .	1934 besuchte José Ortega y Gasset Husserl in Freiburg .	José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .	0.33
Arthur resembles his brother , Andrew Blackthorn , albeit smaller and paler .	Arthur ähnelt seinem Bruder Andrew Blackthorn , wenn auch kleiner und blasser .	Arthur ähnelt seinem Bruder Andrew Blackthorn , obschon er kleiner und blasser ist .	0.21
eventually , she runs inside , and Todd chases after her .	schließlich läuft sie hinein und Todd jagt ihr nach .	schließlich rennt sie hinein und Todd jagt ihr hinterher .	0.20
the first two episodes of series 1 of Torchwood premiered on 22 October 2006 on BBC Three and BBC HD .	die ersten beiden Episoden der Serie 1 von Torchwood wurden am 22. Oktober 2006 auf BBC Three und BBC HD uraufgeführt .	die ersten beiden Folgen der ersten Sendereihe von Torchwood wurden am 22. Oktober 2006 auf BBC Three und BBC HD uraufgeführt .	0.14
Welles envisioned Dilophosaurus as an active , clearly bipedal animal , similar to an enlarged ostrich .	Welles sah Dilophosaurus als aktives , eindeutig bipedales Tier , ähnlich einem vergrößerten Strauß .	Welles stellte sich den Dilophosaurus als aktives , eindeutig zweibeiniges Tier vor , ähnlich einem vergrößerten Vogel Strauß .	0.32
Bishop also pressures Kalinda into spying on her lover Lana Delany .	Bischof drängt Kalinda auch , ihre Geliebte Lana Delany auszuspionieren .	Bischof drängt Kalinda auch , ihre Geliebte Lana Delany auszuspionieren .	0.00
the road leaving Bottcher 's Gap traverses extremely steep terrain , necessitating four narrow switchbacks .	die Straße , die Bottcher ' s Gap verlässt , durchquert extrem steiles Gelände , was vier enge Serpentinen erfordert .	die Straße , die Bottcher ' s Gap verlässt , führt durch extrem steiles Gelände , was vier enge Kurvenfahrten erforderlich macht .	0.22
after a subsequent argument with Sonny , Dante finally realizes why Olivia lied about his paternity and forgives her .	nach einem anschließenden Streit mit Sonny erkennt Dante endlich , warum Olivia über seine Vaterschaft gelogen hat und vergibt ihr .	nach einem anschließenden Streit mit Sonny wird Dante schließlich klar , warum Olivia in Bezug auf seine Vaterschaft gelogen hat , und vergibt ihr .	0.28
by 9 July the German defences outside Caen collapsed .	bis zum 9. Juli brachen die deutschen Abwehrkräfte vor Caen ein .	am 9. Juli brachen die deutschen Verteidigungsanlagen vor Caen zusammen .	0.36
TOXOCARA canis , a hookworm known to infect wolf pups in utero , can cause intestinal irritation , bloating , vomiting , and diarrhea .	TOXOCARA canis , ein Hakenwurm , der Wölfe in utero infiziert , kann Darmreizungen , Blähungen , Erbrechen und Durchfall verursachen .	TOXOCARA canis , ein Hakenwurm , von dem bekannt ist , dass er Wolfswelpen in der Gebärmutter infiziert , kann Darmreizungen , Blähungen , Erbrechen und Durchfall verursachen .	0.34
James described chance as neither hard nor soft determinism , but " indeterminism " .	James beschrieb den Zufall weder als harten noch weichen Determinismus , sondern als " Undeterminismus " .	James beschrieb Zufall als weder harten noch weichen Determinismus , sondern als " Indeterminismus " .	0.19
this illusion so confounded Ptolemy that he incorrectly attributed it to atmospheric refraction when he described it in his treatise , Optics .	diese Illusion verwirrte Ptolemäus so sehr , dass er sie fälschlicherweise der atmosphärischen Brechung zuschrieb , als er sie in seiner Abhandlung Optics beschrieb .	diese Illusion verwirrte Ptolemäus so sehr , dass er sie fälschlicherweise der atmosphärischen Brechung zuschrieb , als er sie in seiner Abhandlung „ Optik “ beschrieb .	0.11
the Gators closed out the 2008 season against the Oklahoma Sooners for the 2008 BCS National Championship in Miami , Florida .	die Gators beendeten die Saison 2008 gegen die Oklahoma Sooners für die BCS National Championship 2008 in Miami , Florida .	die Gators beendeten die 2008 Saison gegen die Oklahoma Sooners für die 2008 BCS National Championship in Miami , Florida .	0.10
by 30 March , less than two weeks after the Army 's Montmartre rout , it began skirmishing with the National Guard on the outskirts of Paris .	bis zum 30. März , weniger als zwei Wochen nach dem Aufstand des Montmartre der Armee , begann es mit der Nationalgarde am Stadtrand von Paris zu kämpfen .	am 30. März , weniger als zwei Wochen nach der Niederlage der Armee in Montmartre , kam es zu einem Scharmützel mit der Nationalgarde am Stadtrand von Paris .	0.38
in contrast , oxygenated hemoglobin exhibits diamagnetism , a weak repulsion from a magnetic field .	im Gegensatz dazu weist Sauerstoffhaltiges Hämoglobin Diamagnetismus auf , eine schwache Abstoßung aus einem Magnetfeld .	im Gegensatz dazu zeigt Sauerstoffhaltiges Hämoglobin Diamagnetismus , eine schwache Abstoßung von einem Magnetfeld .	0.20
Kevin McDonald guest starred alongside Dave Foley in a 1997 episode of Foley 's sitcom NewsRadio .	Kevin McDonald Gast spielte neben Dave Foley in einer Folge von Foley ' s Sitcom Newsradio 1997 .	Kevin McDonald hatte eine Gastrolle neben Dave Foley in einer 1997 gesendeten Episode von Foleys Sitcom Newsradio .	0.50
Dionysus arrives in his true , divine form , banishes Agave and her sisters , and transforms Cadmus and his wife Harmonia into serpents .	Dionysos kommt in seiner wahren , göttlichen Form an , verbannt Agave und ihre Schwestern und verwandelt Cadmus und seine Frau Harmonia in Schlangen .	Dionysos kommt in seiner wahren , göttlichen Form an , verbannt Agave und deren Schwestern und verwandelt Cadmus und dessen Frau Harmonia in Schlangen .	0.08
Daniel Gilbert , social psychologist and Professor at Harvard University .	Daniel Gilbert , Sozialpsychologe und Professor an der Harvard University .	Daniel Gilbert , Sozialpsychologe und Professor an der Harvard University .	0.00
summer stayed in New York and auditioned for a role in the counterculture musical , Hair .	Sommer blieb in New York und sprach für eine Rolle in der Gegenkultur Musical Hair .	Summer blieb in New York und sprach für eine Rolle im Gegenkultur-Musical Hair vor .	0.40
Louisa , daughter of Richard Molesworth , 3rd Viscount Molesworth , and widow of William Ponsonby , 1st Baron Ponsonby , in 1823 .	Louisa , Tochter von Richard Molesworth , 3. Viscount Molesworth und Witwe von William Ponsonby , 1. Baron Ponsonby , 1823 .	Louisa , Tochter von Richard Molesworth , 3. Viscount Molesworth , und Witwe von William Ponsonby , 1. Baron Ponsonby , in 1823 .	0.08
Michael McDowell stepped into the car at Watkins Glen International with sponsor Dockside Logistics .	Michael McDowell stieg bei Watkins Glen International mit dem Sponsor Dockside Logistics ein .	Michael McDowell stieg in der Watkins Glen International mit Sponsor Dockside Logistics in den Wagen .	0.38
Mahmud however wished to reacquire the governorship after defeating his brother Ismail and his allies .	Mahmud wollte jedoch das Gouvernement wiedererlangen , nachdem er seinen Bruder Ismail und seine Verbündeten besiegt hatte .	Mahmud wollte jedoch das Gouverneursamt zurückerobern , nachdem er seinen Bruder Ismail und seine Verbündeten besiegt hatte .	0.11
West XIII metope recalls the back of a volute krater , attributed to the Painter of the Woolly Satyrs and preserved in New York .	West XIII Metope erinnert an die Rückseite einer Volute Krater , die dem Maler der Woolly Satyrs zugeschrieben und in New York erhalten .	die westliche Metope XIII erinnert an die Rückseite eines Volutenkraters , der dem Maler der wolligen Satyrn zugeschrieben und in New York aufbewahrt wird .	0.44
landmines can threaten biodiversity by wiping out vegetation and wildlife during explosions or demining .	Landminen können die Artenvielfalt bedrohen , indem sie Vegetation und Wildtiere während Explosionen oder Minen auslöschen .	Landminen können die Artenvielfalt bedrohen , indem sie bei Explosionen oder bei der Minenräumung Vegetation und Wildtiere vernichten .	0.32
the lower legs twist beneath the hocks , causing interfering .	die Unterbeine verdrehen sich unter den Höcken , was störend wirkt .	die Unterschenkel drehen sich unter den Sprunggelenken , was Störungen verursacht .	0.42
Leonard fought Wilfred Benítez for the WBC Welterweight Championship on November 30 , 1979 , at Caesar 's Palace in Las Vegas , Nevada .	Leonard kämpfte Wilfred Benítez für die WBC Welterweight Championship am 30. November 1979 im Caesar ' s Palace in Las Vegas , Nevada .	Leonard kämpfte am 30. November 1979 im Caesars Palace in Las Vegas , Nevada mit Wilfred Benitez um die WBC-Meisterschaft im Weltergewicht .	0.70
players can compete for the ball at tackles , Rucks and mauls in accordance with the laws .	die Spieler können für den Ball in Ansätzen , Rucks und Mauls in Übereinstimmung mit den Gesetzen konkurrieren .	die Spieler können in Übereinstimmung mit den Regeln per Tackling , Rucks und Mauls um den Ball kämpfen .	0.42
the central pediment over three bays on a giant order of Ionic pilasters .	der zentrale Giebel über drei Buchten auf riesigem Befehl ionischer Pilaster .	der zentrale Giebel über drei Buchten auf einer gigantischen Anordnung ionischer Pilaster .	0.23
Nanda 's troops most probably never totalled more than 25,000 .	Nandas Truppen beliefen sich höchstwahrscheinlich nie auf mehr als 25.000 .	Nandas Truppen hatten höchstwahrscheinlich nie mehr als 25.000 Mann .	0.40
Clint Bowyer flipped over , and slid down the track on his roof .	Clint Bowyer kippte um und rutschte die Strecke auf seinem Dach hinunter .	Clint Bowyer drehte sich um und rutschte die Spur auf seinem Dach hinunter .	0.21
this prompts Siegfried to utter his catch phrase , " Shtarker ... Nein !	dies veranlasst Siegfried zu seinem Schlagwort : " Shtarker ... Nein !	dies veranlasst Siegfried , seinen Slogan " Shtarker .. Nein ! " von sich zu geben .	0.59
Sullivan 's voicing advances the satiric lyric , which mocks the " equality " plays while underlining the hypocrisy of Sir Joseph .	Sullivan ' s Stimme bringt die satirische Lyrik voran , die die " Gleichheit " verspottet und gleichzeitig die Heuchelei Sir Josephs unterstreicht .	Sullivans Stimme treibt die satirische Lyrik voran , die sich über die „ Gleichheit “ lustig macht und gleichzeitig die Heuchelei von Sir Joseph unterstreicht .	0.46
Rudolf Illovszky , 86 , Hungarian footballer and manager , pneumonia .	Rudolf Illovszky , 86 , ungarischer Fußballer und Manager , Lungenentzündung .	Rudolf Illovszky , 86 , ungarischer Fußballspieler und Manager , Lungenentzündung .	0.08
both Democrats and Republicans repudiated the remarks .	sowohl Demokraten als auch Republikaner lehnten diese Bemerkungen ab .	sowohl Demokraten als auch Republikaner lehnten die Äußerungen ab .	0.20
Biden voted to acquit on both charges during the impeachment of President Clinton .	Biden stimmte während der Amtsenthebung von Präsident Clinton für den Freispruch beider Anklagepunkte .	Biden stimmte während der Amtsenthebungsklage gegen Präsident Clinton dafür , beide Anklagen fallenzulassen .	0.50
1806 , d . 1870 ) , a local shipwright in the early years of shipbuilding .	1806 , d. 1870 ) , ein lokaler Schiffsreeder in den frühen Jahren des Schiffbaus .	1806 , d. 1870 ) , ein ortsansässiger Schiffsbauer in den frühen Jahren des Schiffsbaus .	0.19
he struggled with Maria and tried to stab her with a bayonet .	er kämpfte mit Maria und versuchte , sie mit einem Bajonett zu stechen .	er kämpfte mit Maria und versuchte , sie mit einem Bajonett zu erstechen .	0.07
a fortuneteller who tricks Dudley into joining his sideshow in the series finale , " The Last Dudley " .	ein Wahrsager , der Dudley beim Serienfinale " The Last Dudley " dazu bringt , sich seiner Sideshow anzuschließen .	ein Wahrsager , der Dudley dazu verleitet , sich seiner Sideshow im Serienfinale " The Last Dudley " anzuschließen .	0.20
in the 2001 elections , the PLC again defeated the FSLN , with Alemán 's Vice President Enrique Bolaños succeeding him as President .	bei den Wahlen 2001 besiegte die SPS erneut die FSLN , wobei Alemáns Vizepräsident Enrique Bolaños ihn als Präsident ablöste .	bei den Wahlen von 2001 besiegte die PLC erneut die FSLN , wobei Alemáns Vizepräsident Enrique Bolaños dessen Präsidentschaftsnachfolger wurde .	0.29
the Palgrave Concise Historical Atlas of Central Asia .	der Palgrave Concise Historische Atlas Zentralasiens .	der Palgrave Concise historische Atlas von Zentralasien .	0.38
the Mayans eventually retaliate , as predicted , by attacking the Devil 's Tribe clubhouse , and a large shootout ensues .	die Mayas vergelten schließlich , wie vorhergesagt , indem sie das Clubhaus des Teufelsstammes angriffen , und es folgte eine große Schießerei .	die Mayas nehmen sich schließlich Rache , wie vorhergesagt , indem sie das Clubhaus des Devil ' s Tribe angreifen und es zu einer großen Schießerei kommt .	0.43
major scholarly biography Buenker , John D. and Joseph Buenker , eds .	große wissenschaftliche Biographie Buenker , John D. und Joseph Buenker , Hrsg .	große wissenschaftliche Biographie ; Buenker , John D. und Joseph Buenker , Hrsg .	0.07
the higher the " tarik " or pull , the thicker the froth .	je höher der Tarik , desto dicker der Schaum .	je höher der " Tarik " oder der Zug , desto dicker der Schaum .	0.33
the Beavers ' defense forced six Wildcat turnovers .	die Verteidigung der Biber zwang sechs Wildcat-Umsätze .	die Verteidigung der Beaver nötigtite die Wildcats zu sechs Ballverlusten .	0.55
liberating Greece and Anatolia from the diadochi kingdoms	Befreiung Griechenlands und Anatoliens von den Diadotschi-Königreichen	Befreiung Griechenlands und Anatoliens von den Diadochenreichen	0.14
seeing the flanking manoeuvre , the Moroccans began to retreat .	als die Marokkaner das flankierende Manöver sahen , begannen sie sich zurückzuziehen .	als die Marokkaner das flankierende Manöver sahen , begannen sie sich zurückzuziehen .	0.00
he reworked the screenplay , titled The Sharpshooter , and sold it to Zane Grey Theater .	er überarbeitete das Drehbuch mit dem Titel The Sharpshooter und verkaufte es an Zane Grey Theater .	er überarbeitete das Drehbuch mit dem Titel „ The Sharpshooter “ und verkaufte es an das Zane Grey Theatre .	0.20
during a séance d 'Albe observed white muslin between Goligher 's feet .	während einer Séance d ' Albe beobachtet weißen Muslin zwischen Golighers Füßen .	während einer Séance d ' Albe wurde weißer Musselin zwischen Golighers Füßen beobachtet .	0.29
this withdrawal negated the French strategy of attacking both flanks of the Noyon salient , as it no longer existed .	dieser Rückzug negierte die französische Strategie , beide Flanken des Noyon zu attackieren , da es sie nicht mehr gab .	dieser Rückzug negierte die französische Strategie des Angriffs auf beide Flanken von Noyon , da es sie nicht mehr gab .	0.29
many avow descent from nomadic Arab tribes that migrated to Palestine during or shortly after the Islamic conquest .	viele bekennen sich von nomadischen arabischen Stämmen , die während oder kurz nach der islamischen Eroberung nach Palästina wanderten .	viele erklären ihre Abstammung von arabischen Nomadenstämmen , die während oder kurz nach der islamischen Eroberung nach Palästina einwanderten .	0.30
Oglethorpe and other English philanthropists secured a royal charter as the Trustees of the colony of Georgia on June 9 , 1732 .	Oglethorpe und andere englische Philanthropen sicherten sich am 9. Juni 1732 eine königliche Charta als Treuhänder der Kolonie Georgien .	Oglethorpe und andere englische Philanthropen sicherten eine königliche Charta als die Treuhänder der Kolonie Georgia am 9. Juni 1732 .	0.20
many of the trees flank a natural creek that bisects the campus .	viele der Bäume flankieren einen natürlichen Bach , der den Campus biegt .	viele der Bäume flankieren einen natürlichen Bach , der den Campus halbiert .	0.08
the University of Abou Bekr Belkaïd in Tlemcen and University of Batna Hadj Lakhdar occupy the 26th and 45th row in Africa .	die Universität von Abou Bekr Belkaïd in Tlemcen und die Universität von Batna Hadj Lakhdar belegen die 26. und 45. Reihe in Afrika .	die Universität von Abou Bekr Belkaïd in Tlemcen und die Universität von Batna Hadj Lakhdar belegen die 26. und 45. Reihe in Afrika .	0.00
he clinched the 2006 NASCAR Busch Series championship on October 13 , 2006 at Lowe 's Motor Speedway in the Dollar General 300 .	er holte 2006 NASCAR Busch Series Meisterschaft am 13. Oktober 2006 auf Lowe Motor Speedway in der Dollar General 300 .	er entschied die 2006 NASCAR Busch Series-Meisterschaft am 13. Oktober 2006 auf dem Lowe ' s Motor Speedway im Dollar General 300 .	0.39
this garrison hung onto the citadel until the 16th of August .	diese Garnison hing bis zum 16. August an der Zitadelle .	diese Besatzung hielt bis zum 16. August an der Zitadelle fest .	0.25
Henry Edward Roberts studied Electrical Engineering at the University of Miami before enlisting in the U.S. Air Force in 1962 .	Henry Edward Roberts studierte Elektrotechnik an der University of Miami , bevor er 1962 bei der US Air Force tätig wurde .	Henry Edward Roberts studierte Elektrotechnik an der Universität von Miami , bevor er sich 1962 bei der US Air Force in Miami verpflichtete .	0.25
two of the most important rivers in Hinduism originate in the glaciers of Uttarakhand , the Ganges at Gangotri and the Yamuna at Yamunotri .	zwei der wichtigsten Flüsse im Hinduismus stammen aus den Gletschern von Uttarakhand , dem Ganges bei Gangotri und der Yamuna bei Yamunotri .	zwei der wichtigsten Flüsse des Hinduismus entspringen den Gletschern von Uttarakhand , der Ganges bei Gangotri und der Yamuna bei Yamunotri .	0.18
on the other extreme , Vilar despised prostitution , seeing it as another byproduct of capitalism .	auf der anderen Seite verachtete Vilar die Prostitution und betrachtete sie als ein weiteres Nebenprodukt des Kapitalismus .	das andere Extrem war , dass Vilar die Prostitution verachtete , da er sie als eine weitere Begleiterscheinung des Kapitalismus ansah .	0.64
Zoran Tošić and Ritchie De Laet arrived respectively from Partizan and Stoke City in early January .	Zoran Tošić und Ritchie De Laet kamen Anfang Januar aus Partizan und Stoke an .	Anfang Januar trafen Zoran Tošić und Ritchie De Laet aus Partizan und Stoke City ein .	0.31
while in Scapa Flow , King George VI inspected Wichita on 7 June .	in Scapa Flow inspizierte König George VI Wichita am 7. Juni .	in Scapa Flow inspizierte König George VI. Am 7. Juni Wichita .	0.25
at this intersection , SR 57 splits off to the northwest .	an dieser Kreuzung spaltet sich SR 57 nordwestlich ab .	an dieser Kreuzung zweigt die SR 57 nach Nordwesten ab .	0.36
Michael Surrey served as his supervising animator .	Michael Surrey diente als überwachender Animator .	Michael Surrey war sein leitender Animator .	0.43
Gerald E. McClearn , 89 , American behavior geneticist .	Gerald E. McClearn , 89 , amerikanischer Verhaltensgenetiker .	Gerald E. McClearn , 89 , amerikanischer Verhaltensgenetiker .	0.00
they resisted both artillery bombardment and mass infantry assault .	Sie widersetzten sich sowohl der Artilleriebombardierung als auch dem Massenvernichtungsangriff .	Sie widerstanden sowohl dem Artilleriebeschuss als auch dem Massenangriff der Infanterie .	0.58
at the previous major , it placed third after defeating in the Ninjas in Pyjamas and losing to Fnatic , the eventual champions .	beim vorherigen Major belegte er den dritten Platz , nachdem er in den Ninjas in Pyjamas besiegt hatte und Fnatic , den letztendlichen Champions , verloren hatte .	beim vorigen Major belegte er den dritten Platz , nachdem er die Ninjas im Pyjama besiegt und gegen Fnatic , den späteren Meister , verloren hatte .	0.33
initially organized as an auxiliary to the Universalist General Convention , the Y.P.C.U .	zunächst organisiert als Hilfskraft der Universalist General Convention , der Y.P.C.U .	die Y.P.C.U. , die ursprünglich als Hilfsorganisation des Universalistischen Generalkonvents organisiert war ,	1.00
1932 William Arthur Bone , The Combustion of Hydrocarbons .	1932 William Arthur Bone , Die Verbrennung von Kohlenwasserstoffen .	1932 William Arthur Bone , The Combustion of Hydrocarbons .	0.40
abscesses amputations ankylosis asymmetrically sized body parts .	Abscesses amputations Ankylosis Asymmetrische Körperteile .	Abszesse Amputationen Ankylose Asymmetrisch große Körperteile .	0.71
in early 1866 , Congress and president battled over the extension of the authorization of the Freedmen 's Bureau .	Anfang 1866 kämpften Kongress und Präsident um die Verlängerung der Ermächtigung des Freedmen-Büros .	Anfang 1866 stritten sich Kongress und Präsident um die Verlängerung der Ermächtigung des Freedmen ' s Bureau .	0.33
the Argonauts pour libations to the ghost of Sthenelus and the three survivors gain places aboard the Argo .	die Argonauten gießen Trankopfer zum Geist von Sthenelus und die drei Überlebenden gewinnen Plätze an Bord des Argo .	die Argonauten schenken dem Geist von Sthenelus Trankopfer aus , und die drei Überlebenden erhalten einen Platz an Bord der Argo .	0.41
the wealthy warriors ' burial sites yielded richly decorated horse harness , and sabretaches ornamented with precious metal plaques .	die Grabstätten der wohlhabenden Krieger lieferten reich verzierte Pferdegurte und Sabretschen , die mit edlen Metalltafeln geschmückt waren .	die Grabstätten der reichen Krieger gaben reich verzierte Pferdegeschirre und mit Edelmetallplaketten verzierte Sabretaches ab .	0.62
she married trombonist Jimmy Monroe on August 25 , 1941 .	am 25. August 1941 heiratete sie den Posaunisten Jimmy Monroe .	am 25. August 1941 heiratete sie den Posaunisten Jimmy Monroe .	0.00
her funeral drew 60,000 mourners , many of whom traveled from outside the United States .	ihr Begräbnis zog 60.000 Trauernde an , von denen viele außerhalb der Vereinigten Staaten reisten .	zu ihrer Beerdigung kamen 60.000 Trauernde , viele reisten von außerhalb der USA an .	0.67
the Reds ' wishbone C was on the players ' right sleeve instead of their mascot , Mr. Redlegs .	the Reds ' wishbone C war auf dem rechten Ärmel der Spieler anstelle ihres Maskottchens , Mr. Redlegs .	der Wishbone C der Reds befand sich auf dem rechten Ärmel der Spieler anstelle ihres Maskottchens Mr. Redlegs .	0.42
thirteen Spaniards were injured by arrows in the first assault , but the conquistadors regrouped and repulsed the Maya attack .	dreizehn Spanier wurden beim ersten Angriff durch Pfeile verletzt , aber die Konquistadoren gruppierten sich und wiesen den Maya-Angriff zurück .	dreizehn Spanier wurden beim ersten Angriff durch Pfeile verletzt , aber die Konquistadoren gruppierten sich um und schlugen den Maya-Angriff zurück .	0.09
John Buchan 's brigade skirmished with the French defenders of Orthez all morning .	John Buchans Brigade kämpfte den ganzen Morgen mit den französischen Verteidigern von Orthez .	John Buchans Brigade hatte den ganzen Morgen mit den französischen Verteidigern von Orthez gerangelt .	0.13
Paul Collier , 46 , Australian disability advocate , brain haemorrhage .	Paul Collier , 46 , australischer Behindertenanwalt , Gehirnblutung .	Paul Collier , 46 , australischer Anwalt für Behinderung , Gehirnblutung .	0.25
Bisguier stood well in the middlegame , but blundered , handing Fischer his fifth consecutive US championship .	Bisguier stand zwar gut im Mittelfeld , war aber unordentlich und gab Fischer seine fünfte US-Meisterschaft in Folge .	Bisguier stand gut im Zwischenspiel , machte aber Fehler und übergab Fischer damit dessen fünfte US-Meisterschaft in Folge .	0.37
Eastern spruce budworm moths are strong fliers and disperse in exodus in the evening .	östliche Fichte Kumpelwurm Motten sind starke Flieger und zerstreuen sich in Exodus am Abend .	im Osten lebende Schmetterlingsarten aus der Gattung Choristoneura sind gute Flieger und zerstreuen sich am Abend bei ihrem Auszug .	0.65
Stilicho 's attempts to unify the Empire , revolts , and invasions	Stilichos Versuche , das Imperium , Revolten und Invasionen zu vereinen	Stilichos Versuche , das Imperium zu vereinen , Revolten und Invasionen	0.09
bower leaves , and his club foot reminds Tuppence of the brothers Oakwood .	Bower verlässt , und sein Schlägerfuß erinnert Tuppence an die Brüder Oakwood .	Bower geht und sein Keulenfuß erinnert Tuppence an die Brüder Oakwood .	0.25
this transitions directly into a faster and fiercer passage .	dieser geht direkt in einen schnelleren und heftigeren Durchgang über .	dies geht direkt in eine schnellere und härtere Passage über .	0.45
in Texas , the Houston Chronicle and the Austin American criticized the lynch mob , but spoke highly of Waco .	in Texas kritisierten Houston Chronicle und Austin American den Lynchmob , sprachen aber stark von Waco .	in Texas kritisierten die Houston Chronicle und die Austin American den Lynchmob , sprachen aber sehr gut über Waco .	0.25
northern clergy increasingly preached against slavery in the 1830s .	in den 1830er Jahren predigte der nördliche Klerus zunehmend gegen die Sklaverei .	die nordischen Geistlichen predigten in den 1830er Jahren zunehmend gegen die Sklaverei .	0.38
the forebrain is well developed and subdivided in most tetrapods , while the midbrain dominate in many fish and some salamanders .	das Vorderhirn ist gut entwickelt und in den meisten Tetrapoden unterteilt , während das Mittelhirn in vielen Fischen und einigen Salamander dominiert .	das Vorderhirn ist bei den meisten Tetrapoden gut entwickelt und unterteilt , während das Mittelhirn bei vielen Fischen und einigen Salamandern dominiert .	0.17
Alexandre Dumas penned a famous and comical treatment of dueling etiquette and practice in his novel The Three Musketeers .	Alexandre Dumas schrieb in seinem Roman The Three Musketeers eine berühmte und komische Behandlung von Duell-Etikette und Praxis .	Alexandre Dumas verfasste mit seinem Roman „ Die Drei Musketiere “ eine berühmte und humorvolle Behandlung der Etikette und Praktik des Duellierens .	0.57
at its very start , ghosts of Follies showgirls stalk the stage , mythic giants in winged , feathered , black and white opulence .	gleich zu Beginn stehen Geister von Follies Showgirls auf der Bühne , mythische Riesen in geflügelter , gefiederter , schwarz-weißer Opulenz .	gleich zu Beginn pirschen Geister von Follies Showgirls über die Bühne , mythische Riesen in geflügelter , gefiederter , schwarz-weißer Opulenz .	0.14
Dee , a beluga whale imported from Russia , died in August 2000 after a petting session .	Dee , ein aus Russland importierter Beluga-Wal , starb im August 2000 nach einer Streichelstunde .	Dee , ein aus Russland importierter beluga Wal , starb im August 2000 nach einer Streichel-Sitzung .	0.18
he exhibits both Superman 's abilities as well as Superboy 's tactile telekinesis .	er zeigt sowohl Superman ' s Fähigkeiten als auch Superboy ' s taktile Telekinese .	er zeigt sowohl Supermans Fähigkeiten als auch die taktile Telekinese von Superboy .	0.54
that night , Paisley addressed a Third Force rally in Newtownards , where thousands of masked and uniformed men marched before him .	in dieser Nacht sprach Paisley eine Kundgebung der Dritten Kraft in Newtownards an , wo Tausende von maskierten und uniformierten Männern vor ihm marschierten .	in dieser Nacht hielt Paisley eine Ansprache bei einer Kundgebung der Third Force in Newtownards , bei der Tausende von maskierten und uniformierten Männern vor ihm marschierten .	0.32
in 1760 , Whitefield was burlesqued by Samuel Foote in The Minor .	1760 wurde Whitefield von Samuel Foote in The Minor begraben .	1760 wurde Whitefield von Samuel Foote in The Minor burlesqued .	0.09
he redistributed large commercial haciendas , some 180,000 km ² of land to peasants .	er verteilte große kommerzielle Haciendas , etwa 180.000 km ² Land an Bauern .	er verteilte große gewerbliche Haciendas , etwa 180,000 km ² Land , an Bauern .	0.20
the JMA downgraded Yagi to a severe tropical storm on September 24 .	die JMA hat Yagi am 24. September zu einem schweren Tropensturm degradiert .	die JMA stufte Yagi am 24. September zu einem schweren Tropensturm herab .	0.15
offshore the United States between Florida and North Carolina , the Norwegian bark Drot encountered the hurricane .	Offshore in den Vereinigten Staaten zwischen Florida und North Carolina , traf die norwegische Rinde Drot auf den Hurrikan .	vor der Küste der Vereinigten Staaten zwischen Florida und North Carolina stieß die norwegische Rinde Drot auf den Hurrikan .	0.30
travelling through Jupiter 's magnetosphere , New Horizons collected valuable particle readings .	auf der Reise durch die Magnetosphäre des Jupiter sammelten New Horizons wertvolle Partikelmessungen .	als New Horizons Jupiters Magnetosphäre durchquerte , sammelte die Raumsonde wertvolle Partikeldaten .	0.85
John Yorke became the Executive Producer of EastEnders in 2000 .	John Yorke wurde 2000 Executive Producer von Eastenders .	John Yorke wurde der Executive Producer von Eastenders im Jahr 2000 .	0.33
Cornelia attends a ceremony naming a street intersection for her grandnephew who died in France .	Cornelia nimmt an einer Zeremonie teil , bei der sie einen Straßenkreuz für ihren in Frankreich verstorbenen Großneffen benennt .	Cornelia nimmt an einer Zeremonie teil , bei der eine Straßenkreuzung nach ihrem in Frankreich verstorbenen Großneffen benannt wird .	0.35
between , a notarized loan of 50 florins by Jean de Forcade , alias de La Balance , from Arthez , to Arnaud de Lamarque , Commandant of Poeylas .	zwischen einem notariell beglaubigten Darlehen von 50 Gulden von Jean de Forcade , alias de La Balance , von Arthez an Arnaud de Lamarque , Kommandant von Poeylas .	dazwischen ein notariell beglaubigter Kredit über 50 Gulden von Jean de Forcade , alias de La Balance , von Arthez an Arnaud de Lamarque , Kommandant von Poeylas .	0.17
" like a Prayer " courted heavy criticism due to its religious , sexual , and racially oriented imagery .	" like a Prayer " wurde wegen seiner religiösen , sexuellen und rassistisch orientierten Bildsprache heftig kritisiert .	" like a Prayer " wurde wegen seiner religiösen , sexuellen und rassistisch ausgerichteten Bildsprache heftig kritisiert .	0.06
after Kathiresan gets flattened , Ranjith harasses her to which Anandhi beats him with slipper and closes the door , after she chased him out .	nachdem Kathiresan abgeflacht wurde , schikaniert Ranjith sie , zu der Anandhi ihn mit Slipper schlägt und die Tür schließt , nachdem sie ihn hinaus gejagt hat .	nachdem Kathiresan plattgemacht wird , belästigt Ranjith sie , woraufhin Anandhi ihn mit einem Pantoffel schlägt und die Tür schließt , nachdem sie ihn hinausgejagt hat .	0.33
these tightrope walkers drew huge crowds to witness their exploits .	diese Seilläufer zogen riesige Menschenmengen an , um ihre Heldentaten zu erleben .	diese Seiltänzer zogen riesige Menschenmengen an , um ihre Kunststücke anzusehen .	0.33
